epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,25596.1,0.91788,0.7254,1.13754,0.60483,0.46176,0.46721,0.24269,1.80408,1.94817,2.23419,0.002674,0.002674,0.002674
76,25919.1,0.93818,0.74403,1.15537,0.49775,0.40882,0.3944,0.20964,1.74302,2.0166,2.14663,0.002575,0.002575,0.002575
77,26240.1,0.90811,0.72263,1.1461,0.57625,0.41765,0.43423,0.23638,1.69666,1.8666,2.10109,0.002476,0.002476,0.002476
78,26568.6,0.90801,0.72399,1.14565,0.54151,0.51065,0.4737,0.24113,1.70881,1.93135,2.13451,0.002377,0.002377,0.002377
79,26877.2,0.89819,0.7025,1.13769,0.54785,0.47041,0.47607,0.25526,1.6912,1.8131,2.1118,0.002278,0.002278,0.002278
80,27151.3,0.91588,0.73089,1.14981,0.52435,0.47941,0.45128,0.23564,1.72112,1.88476,2.11671,0.002179,0.002179,0.002179
81,27428.1,0.91853,0.72926,1.1386,0.51739,0.48235,0.45188,0.24089,1.78634,1.91738,2.16217,0.00208,0.00208,0.00208
82,27702.9,0.90803,0.69037,1.13742,0.51264,0.48529,0.43932,0.24057,1.71678,1.98851,2.10614,0.001981,0.001981,0.001981
83,27978.2,0.8862,0.69003,1.12525,0.56595,0.46176,0.487,0.25588,1.68124,1.86704,2.09057,0.001882,0.001882,0.001882
84,28246.7,0.89447,0.69607,1.13281,0.55586,0.50062,0.50396,0.27282,1.62964,1.74646,2.03843,0.001783,0.001783,0.001783
85,28523.4,0.90565,0.71738,1.13718,0.59487,0.49665,0.52528,0.2909,1.73946,1.7957,2.14143,0.001684,0.001684,0.001684
86,28797.5,0.89991,0.68018,1.13299,0.52329,0.50882,0.47376,0.26456,1.66333,1.89011,2.05425,0.001585,0.001585,0.001585
87,29069.7,0.87007,0.67942,1.1208,0.57197,0.4795,0.4941,0.27163,1.65202,1.7849,2.04048,0.001486,0.001486,0.001486
88,29349.7,0.86868,0.68167,1.11523,0.57178,0.47127,0.50428,0.2628,1.78531,1.79941,2.14971,0.001387,0.001387,0.001387
89,29620.8,0.8691,0.68765,1.10802,0.58581,0.47647,0.46823,0.25128,1.72615,1.84465,2.11118,0.001288,0.001288,0.001288
90,29896.3,0.85706,0.66145,1.11708,0.58688,0.49721,0.48337,0.25544,1.67365,1.869,2.08714,0.001189,0.001189,0.001189
91,30164.4,0.86932,0.75368,1.30116,0.51362,0.52801,0.45867,0.24144,1.80587,1.81601,2.20998,0.00109,0.00109,0.00109
92,30441.9,0.84376,0.70533,1.26913,0.60666,0.41765,0.47789,0.26445,1.66029,1.73796,2.09121,0.000991,0.000991,0.000991
93,30714.6,0.83813,0.66968,1.28508,0.59839,0.45588,0.50513,0.28739,1.66787,1.75772,2.05775,0.000892,0.000892,0.000892
94,30992,0.85032,0.68323,1.28349,0.499,0.51176,0.47568,0.27142,1.6247,1.72201,2.01608,0.000793,0.000793,0.000793
95,31270.7,0.8189,0.65679,1.25228,0.49248,0.53824,0.47479,0.27817,1.60281,1.72065,2.01017,0.000694,0.000694,0.000694
96,31551.8,0.81516,0.6505,1.25791,0.54577,0.52353,0.49467,0.28467,1.64656,1.71533,2.06225,0.000595,0.000595,0.000595
97,31826.6,0.79166,0.62557,1.22921,0.48663,0.56471,0.49766,0.29298,1.62047,1.67654,2.02367,0.000496,0.000496,0.000496
98,32103.5,0.78227,0.6258,1.22101,0.5468,0.51765,0.50123,0.30035,1.59928,1.69969,2.00425,0.000397,0.000397,0.000397
99,32384.2,0.76143,0.61278,1.20172,0.55699,0.49183,0.49396,0.29677,1.59813,1.6943,2.01302,0.000298,0.000298,0.000298
100,32670.1,0.7904,0.62732,1.2506,0.49078,0.52941,0.49565,0.29669,1.62339,1.69926,2.04257,0.000199,0.000199,0.000199
